asset_id,tone
B01A,daytime
B01B,evening
B01C,night_l
B01D,daytime
B02A,daytime
B02C,daytime
B03A,daytime
B03C,daytime
B04A,daytime
B04C,daytime
B05A,daytime
B05B,daytime
B05C,night_l
B06A,daytime
B06C,daytime
B07A,daytime
B07B,evening
B07C,night
B07D,daytime
B07E,daytime
B08A,daytime
B08C,daytime
B09A,daytime
B09B,evening
B09C,night
B10A,daytime
B10C,daytime
B11A,daytime
B11C,daytime
B12A,daytime
B12B,evening
B12C,night
B12D,daytime
B13A,daytime
B13C,night
B14A,daytime
B14B,evening
B15A,daytime
B15B,evening
B15C,night
B16A,daytime
B16C,daytime
B17A,daytime
B17B,evening
B18A,daytime
B18B,evening
B19A,daytime
B19B,evening
B20A,daytime
B20B,evening
B21A,daytime
B21B,evening
B21D,daytime
B21E,evening
B22A,daytime
B22B,evening
B23A,daytime
B23B,evening
B24A,daytime
B25A,daytime
B25C,night
B26A,daytime
B26C,night
B27A,daytime
B27B,daytime
B27C,daytime
B27D,daytime
B28D,daytime
B29A,daytime
B29B,evening
B30A,daytime
B31A,daytime
B31C,daytime
B32A,daytime
B32B,daytime
B32C,daytime
B33A,daytime
B33B,evening
B33C,night_l
B34A,daytime
B34B,evening
B34C,night
B35A,daytime
B35B,evening
B35C,night_l
B36A,daytime
B36B,evening
B37A,daytime
B38A,daytime
B38B,evening
B39A,daytime
B39B,evening
B40A,daytime
B40C,daytime
EZ01B,evening
