asset_id,guidex,guidey
CA01_01L,408,274
CA01_01M,308,193
CA01_01S,241,187
CA01_02L,408,274
CA01_02M,308,193
CA01_02S,241,187
CA01_03L,408,274
CA01_03M,308,193
CA01_03S,241,187
CA01_04L,405,273
CA01_04M,252,193
CA01_04S,208,186
CA01_05L,405,273
CA01_05M,252,193
CA01_05S,208,186
CA01_06L,408,274
CA01_06M,308,193
CA01_06S,241,187
CA01_07L,405,273
CA01_07M,252,193
CA01_07S,208,186
CA01_08L,408,274
CA01_08M,308,193
CA01_08S,241,187
CA01_09L,405,273
CA01_09M,252,193
CA01_09S,208,186
CA01_10L,408,274
CA01_10M,308,193
CA01_10S,241,187
CA01_11L,405,273
CA01_11M,252,193
CA01_11S,208,186
CA01_12L,408,274
CA01_12M,308,193
CA01_12S,241,187
CA01_13L,408,274
CA01_13M,308,193
CA01_13S,241,187
CA02_01L,408,274
CA02_01M,308,193
CA02_01S,241,187
CA02_02L,408,274
CA02_02M,308,193
CA02_02S,241,187
CA02_03L,408,274
CA02_03M,308,193
CA02_03S,241,187
CA02_04L,405,273
CA02_04M,252,193
CA02_04S,208,186
CA02_05L,405,273
CA02_05M,252,193
CA02_05S,208,186
CA02_06L,408,274
CA02_06M,308,193
CA02_06S,241,187
CA02_07L,405,273
CA02_07M,252,193
CA02_07S,208,186
CA02_08L,408,274
CA02_08M,308,193
CA02_08S,241,187
CA02_09L,405,273
CA02_09M,252,193
CA02_09S,208,186
CA02_10L,408,274
CA02_10M,308,193
CA02_10S,241,187
CA02_11L,405,273
CA02_11M,252,193
CA02_11S,208,186
CA02_12L,408,274
CA02_12M,308,193
CA02_12S,241,187
CA02_13L,408,274
CA02_13M,308,193
CA02_13S,241,187
CA03_01L,408,274
CA03_01M,308,193
CA03_01S,241,187
CA03_02L,408,274
CA03_02M,308,193
CA03_02S,241,187
CA03_03L,408,274
CA03_03M,308,193
CA03_03S,241,187
CA03_04L,405,273
CA03_04M,252,193
CA03_04S,208,186
CA03_05L,405,273
CA03_05M,252,193
CA03_05S,208,186
CA03_06L,408,274
CA03_06M,308,193
CA03_06S,241,187
CA03_07L,405,273
CA03_07M,252,193
CA03_07S,208,186
CA03_08L,408,274
CA03_08M,308,193
CA03_08S,241,187
CA03_09L,405,273
CA03_09M,252,193
CA03_09S,208,186
CA03_10L,408,274
CA03_10M,308,193
CA03_10S,241,187
CA03_11L,405,273
CA03_11M,252,193
CA03_11S,208,186
CA03_12L,408,274
CA03_12M,308,193
CA03_12S,241,187
CA03_13L,408,274
CA03_13M,308,193
CA03_13S,241,187
CA04_01L,408,274
CA04_01M,308,193
CA04_01S,241,187
CA04_02L,408,274
CA04_02M,308,193
CA04_02S,241,187
CA04_03L,408,274
CA04_03M,308,193
CA04_03S,241,187
CA04_04L,405,273
CA04_04M,252,193
CA04_04S,208,186
CA04_05L,405,273
CA04_05M,252,193
CA04_05S,208,186
CA04_06L,408,274
CA04_06M,308,193
CA04_06S,241,187
CA04_07L,405,273
CA04_07M,252,193
CA04_07S,208,186
CA04_08L,408,274
CA04_08M,308,193
CA04_08S,241,187
CA04_09L,405,273
CA04_09M,252,193
CA04_09S,208,186
CA04_10L,408,274
CA04_10M,308,193
CA04_10S,241,187
CA04_11L,405,273
CA04_11M,252,193
CA04_11S,208,186
CA04_12L,408,274
CA04_12M,308,193
CA04_12S,241,187
CA04_13L,408,274
CA04_13M,308,193
CA04_13S,241,187
CA05_01L,408,274
CA05_01M,308,193
CA05_01S,241,187
CA05_02L,408,274
CA05_02M,308,193
CA05_02S,241,187
CA05_03L,408,274
CA05_03M,308,193
CA05_03S,241,187
CA05_04L,405,273
CA05_04M,252,193
CA05_04S,208,186
CA05_05L,405,273
CA05_05M,252,193
CA05_05S,208,186
CA05_06L,408,274
CA05_06M,308,193
CA05_06S,241,187
CA05_07L,405,273
CA05_07M,252,193
CA05_07S,208,186
CA05_08L,408,274
CA05_08M,308,193
CA05_08S,241,187
CA05_09L,405,273
CA05_09M,252,193
CA05_09S,208,186
CA05_10L,408,274
CA05_10M,308,193
CA05_10S,241,187
CA05_11L,405,273
CA05_11M,252,193
CA05_11S,208,186
CA05_12L,408,274
CA05_12M,308,193
CA05_12S,241,187
CA05_13L,408,274
CA05_13M,308,193
CA05_13S,241,187
CA06_01L,408,274
CA06_01M,308,193
CA06_01S,241,187
CA06_02L,408,274
CA06_02M,308,193
CA06_02S,241,187
CA06_03L,408,274
CA06_03M,308,193
CA06_03S,241,187
CA06_04L,405,273
CA06_04M,252,193
CA06_04S,208,186
CA06_05L,405,273
CA06_05M,252,193
CA06_05S,208,186
