speaker,file
心の声,nothing.png
語り,nothing.png
モノローグ,nothing.png
穹,MP-01.png
奈绪,MP-02.png
瑛,MP-03.png
一叶,MP-04.png
初佳,MP-05.png
亮平,MP-06.png
八寻,MP-07.png
梢,MP-08.png
悠,MP-09.png
瑛・祖父,MP-10.png
奈绪・友,MP-11.png
孩子A,MP-12.png
摊贩大叔,MP-13.png
初佳・母,MP-14.png
孩子B,MP-15.png
高野店长,MP-16.png
一叶・父,MP-17.png
月之见,MP-18.png
邻居爷爷,MP-19.png
祖父儿媳,MP-20.png
邻居奶奶,MP-21.png
女孩,MP-22.png
数学老师,MP-23.png
游泳部部长,MP-24.png
电话声,MP-25.png
阿姨,MP-26.png
女性,MP-27.png
看店小孩,MP-28.png
摊贩阿姨,MP-29.png
和服男,MP-30.png
孩子C,MP-31.png
同学,MP-32.png
祖父・子,MP-33.png
电话,MP-34.png
金平,MP-35.png
英语老师,MP-36.png
一齐,MP-37.png
公交广播,MP-38.png
巫女A,MP-39.png
班主任,MP-40.png
工薪族,MP-41.png
吓人女,MP-42.png
邮递员,MP-43.png
瑛&亮平,MP-44.png
和服店,MP-45.png
大声,MP-46.png
怒喊声,MP-47.png
车内广播,MP-48.png
女生A,MP-49.png
足球社员A,MP-50.png
悠&穹,MP-51.png
男生A,MP-52.png
女仆,MP-53.png
谜之女,MP-54.png
女生B,MP-55.png
足球社员C,MP-56.png
足球社员B,MP-57.png
巫女B,MP-58.png
亮平&奈绪,MP-59.png
手机消息,MP-60.png
梢&奈绪,MP-61.png
梢&穹,MP-62.png
瑛&穹&一叶,MP-63.png
亮平&一叶&奈绪,MP-64.png
瑛&一叶,MP-65.png
悠&亮平&奈绪,MP-66.png
公交司机,MP-67.png
女学生,MP-68.png
棒球社员A,MP-69.png
棒球社员C,MP-70.png
棒球社员B,MP-71.png
女生C,MP-72.png
